time,seq,stamp,x,y,z
1691797728278819721,0,7450000000,0.0,0.0,0.0
1691797728362950339,1,7500000000,-3.331040332454904e-08,1.3701417778122502e-09,3.7236087990777384e-08
1691797728380003632,2,7550000000,-3.3531026844002554e-08,-4.666409481046685e-09,4.7608509134988715e-08
1691797728453168171,3,7600000000,-3.18824540102014e-08,-9.37795618938253e-09,5.4334353905005635e-08
1691797728483124951,4,7650000000,-3.1693563329326935e-08,-1.1614602613008174e-08,5.414706194528662e-08
1691797728561532171,5,7700000000,-3.1510289488778653e-08,-1.383482750583198e-08,5.393081181637172e-08
1691797728583007502,6,7750000000,-3.0216046553732674e-08,-2.843557611598157e-09,4.760280347682056e-08
1691797728662024813,7,7800000000,-3.0060160582934265e-08,7.2706138887213e-09,4.2455251758610764e-08
1691797728685661655,8,7850000000,-3.0006173545871206e-08,1.7353517733909033e-08,3.7361974847272e-08
1691797728753980505,9,7900000000,-3.4540967419616215e-08,1.8553434344426023e-08,3.887641852884372e-08
1691797728781127806,10,7950000000,-3.8988435591136295e-08,1.9384891913887262e-08,4.0579017479558395e-08
1691797728854694056,11,8000000000,-3.168977968925901e-08,-2.8553583941715033e-09,4.450526347454797e-08
1691797728885346450,12,8050000000,-3.022358896487276e-08,-3.0429478936611076e-09,4.6313360257954634e-08
1691797728952793981,13,8100000000,-2.906002194436041e-08,-3.2545437456121813e-09,4.8029921373426994e-08
1691797728982301467,14,8150000000,-2.812394406248586e-08,-3.490329580912998e-09,4.9693870352029996e-08
1691797729063811975,15,8200000000,-2.8329996126785773e-08,-3.7197085411833086e-09,5.067331088071114e-08
1691797729083067097,16,8250000000,-2.941188803617933e-08,-3.900802347800436e-09,5.094999622201613e-08
1691797729161422335,17,8300000000,-3.0589383470669424e-08,-4.041053269787653e-09,5.0956032282556414e-08
1691797729187601192,18,8350000000,-3.0961871289036935e-08,-2.751906702513906e-09,4.7985142970219385e-08
1691797729252520301,19,8400000000,-3.1550911216982065e-08,-1.530175430808356e-09,4.507097983719177e-08
1691797729278931027,20,8450000000,0.0113183949142694,0.0014299458125606,0.0418120212852954
1691797729348091133,21,8500000000,0.0280247423797845,0.0013719265116378,0.0918578207492828
1691797729377734932,22,8550000000,0.0432037487626075,-0.0002998065319843,0.1405186206102371
